year,period,value,updated_at
1980,M01,93.0,2025-01-30T00:00:00Z
1980,M02,82.0,2025-01-30T00:00:00Z
1980,M03,85.9,2025-01-30T00:00:00Z
1980,M04,84.1,2025-01-30T00:00:00Z
1980,M05,77.5,2025-01-30T00:00:00Z
1980,M06,77.2,2025-01-30T00:00:00Z
1980,M07,80.5,2025-01-30T00:00:00Z
1980,M08,93.1,2025-01-30T00:00:00Z
1980,M09,93.9,2025-01-30T00:00:00Z
1980,M10,91.5,2025-01-30T00:00:00Z
1980,M11,96.7,2025-01-30T00:00:00Z
1980,M12,107.8,2025-01-30T00:00:00Z
1981,M01,99.3,2025-01-30T00:00:00Z
1981,M02,98.2,2025-01-30T00:00:00Z
1981,M03,94.2,2025-01-30T00:00:00Z
1981,M04,96.2,2025-01-30T00:00:00Z
1981,M05,89.0,2025-01-30T00:00:00Z
1981,M06,89.8,2025-01-30T00:00:00Z
1981,M07,90.9,2025-01-30T00:00:00Z
1981,M08,92.7,2025-01-30T00:00:00Z
1981,M09,98.5,2025-01-30T00:00:00Z
1981,M10,97.0,2025-01-30T00:00:00Z
1981,M11,101.6,2025-01-30T00:00:00Z
1981,M12,103.3,2025-01-30T00:00:00Z
1982,M01,98.9,2025-01-30T00:00:00Z
1982,M02,107.0,2025-01-30T00:00:00Z
1982,M03,101.9,2025-01-30T00:00:00Z
1982,M04,97.5,2025-01-30T00:00:00Z
1982,M05,89.9,2025-01-30T00:00:00Z
1982,M06,84.8,2025-01-30T00:00:00Z
1982,M07,90.6,2025-01-30T00:00:00Z
1982,M08,84.1,2025-01-30T00:00:00Z
1982,M09,91.4,2025-01-30T00:00:00Z
1982,M10,91.8,2025-01-30T00:00:00Z
1982,M11,91.3,2025-01-30T00:00:00Z
1982,M12,90.0,2025-01-30T00:00:00Z
1983,M01,90.2,2025-01-30T00:00:00Z
1983,M02,88.4,2025-01-30T00:00:00Z
1983,M03,91.3,2025-01-30T00:00:00Z
1983,M04,91.3,2025-01-30T00:00:00Z
1983,M05,94.9,2025-01-30T00:00:00Z
1983,M06,90.7,2025-01-30T00:00:00Z
1983,M07,92.8,2025-01-30T00:00:00Z
1983,M08,95.9,2025-01-30T00:00:00Z
1983,M09,100.9,2025-01-30T00:00:00Z
1983,M10,104.4,2025-01-30T00:00:00Z
1983,M11,108.7,2025-01-30T00:00:00Z
1983,M12,122.1,2025-01-30T00:00:00Z
1984,M01,139.1,2025-01-30T00:00:00Z
1984,M02,141.1,2025-01-30T00:00:00Z
1984,M03,123.8,2025-01-30T00:00:00Z
1984,M04,130.3,2025-01-30T00:00:00Z
1984,M05,114.2,2025-01-30T00:00:00Z
1984,M06,97.0,2025-01-30T00:00:00Z
1984,M07,95.4,2025-01-30T00:00:00Z
1984,M08,93.6,2025-01-30T00:00:00Z
1984,M09,93.2,2025-01-30T00:00:00Z
1984,M10,92.8,2025-01-30T00:00:00Z
1984,M11,91.6,2025-01-30T00:00:00Z
1984,M12,96.9,2025-01-30T00:00:00Z
1985,M01,84.2,2025-01-30T00:00:00Z
1985,M02,88.6,2025-01-30T00:00:00Z
1985,M03,89.8,2025-01-30T00:00:00Z
1985,M04,88.7,2025-01-30T00:00:00Z
1985,M05,83.5,2025-01-30T00:00:00Z
1985,M06,82.6,2025-01-30T00:00:00Z
1985,M07,87.9,2025-01-30T00:00:00Z
1985,M08,89.2,2025-01-30T00:00:00Z
1985,M09,96.9,2025-01-30T00:00:00Z
1985,M10,97.8,2025-01-30T00:00:00Z
