year,period,value,updated_at
1980,M01,0.879,2025-01-24T00:00:00Z
1980,M02,0.774,2025-01-24T00:00:00Z
1980,M03,0.812,2025-01-24T00:00:00Z
1980,M04,0.797,2025-01-24T00:00:00Z
1980,M05,0.737,2025-01-24T00:00:00Z
1980,M06,0.731,2025-01-24T00:00:00Z
1980,M07,0.776,2025-01-24T00:00:00Z
1980,M08,0.907,2025-01-24T00:00:00Z
1980,M09,0.898,2025-01-24T00:00:00Z
1980,M10,0.867,2025-01-24T00:00:00Z
1980,M11,0.917,2025-01-24T00:00:00Z
1980,M12,1.031,2025-01-24T00:00:00Z
1981,M01,0.943,2025-01-24T00:00:00Z
1981,M02,0.924,2025-01-24T00:00:00Z
1981,M03,0.875,2025-01-24T00:00:00Z
1981,M04,0.904,2025-01-24T00:00:00Z
1981,M05,0.836,2025-01-24T00:00:00Z
1981,M06,0.852,2025-01-24T00:00:00Z
1981,M07,0.860,2025-01-24T00:00:00Z
1981,M08,0.868,2025-01-24T00:00:00Z
1981,M09,0.915,2025-01-24T00:00:00Z
1981,M10,0.898,2025-01-24T00:00:00Z
1981,M11,0.943,2025-01-24T00:00:00Z
1981,M12,0.966,2025-01-24T00:00:00Z
1982,M01,0.925,2025-01-24T00:00:00Z
1982,M02,1.007,2025-01-24T00:00:00Z
1982,M03,0.952,2025-01-24T00:00:00Z
1982,M04,0.896,2025-01-24T00:00:00Z
1982,M05,0.842,2025-01-24T00:00:00Z
1982,M06,0.783,2025-01-24T00:00:00Z
1982,M07,0.851,2025-01-24T00:00:00Z
1982,M08,0.778,2025-01-24T00:00:00Z
1982,M09,0.852,2025-01-24T00:00:00Z
1982,M10,0.854,2025-01-24T00:00:00Z
1982,M11,0.849,2025-01-24T00:00:00Z
1982,M12,0.813,2025-01-24T00:00:00Z
1983,M01,0.821,2025-01-24T00:00:00Z
1983,M02,0.794,2025-01-24T00:00:00Z
1983,M03,0.836,2025-01-24T00:00:00Z
1983,M04,0.825,2025-01-24T00:00:00Z
1983,M05,0.865,2025-01-24T00:00:00Z
1983,M06,0.825,2025-01-24T00:00:00Z
1983,M07,0.847,2025-01-24T00:00:00Z
1983,M08,0.884,2025-01-24T00:00:00Z
1983,M09,0.938,2025-01-24T00:00:00Z
1983,M10,0.962,2025-01-24T00:00:00Z
1983,M11,0.996,2025-01-24T00:00:00Z
1983,M12,1.131,2025-01-24T00:00:00Z
1984,M01,1.301,2025-01-24T00:00:00Z
1984,M02,1.324,2025-01-24T00:00:00Z
1984,M03,1.153,2025-01-24T00:00:00Z
1984,M04,1.199,2025-01-24T00:00:00Z
1984,M05,1.054,2025-01-24T00:00:00Z
1984,M06,0.903,2025-01-24T00:00:00Z
1984,M07,0.876,2025-01-24T00:00:00Z
1984,M08,0.860,2025-01-24T00:00:00Z
1984,M09,0.854,2025-01-24T00:00:00Z
1984,M10,0.842,2025-01-24T00:00:00Z
1984,M11,0.823,2025-01-24T00:00:00Z
1984,M12,0.867,2025-01-24T00:00:00Z
1985,M01,0.746,2025-01-24T00:00:00Z
1985,M02,0.784,2025-01-24T00:00:00Z
1985,M03,0.790,2025-01-24T00:00:00Z
1985,M04,0.783,2025-01-24T00:00:00Z
1985,M05,0.745,2025-01-24T00:00:00Z
1985,M06,0.724,2025-01-24T00:00:00Z
1985,M07,0.787,2025-01-24T00:00:00Z
1985,M08,0.789,2025-01-24T00:00:00Z
1985,M09,0.857,2025-01-24T00:00:00Z
1985,M10,0.860,2025-01-24T00:00:00Z
1985,M11,0.872,2025-01-24T00:00:00Z
1985,M12,0.906,2025-01-24T00:00:00Z
1986,M01,0.901,2025-01-24T00:00:00Z
1986,M02,0.866,2025-01-24T00:00:00Z
1986,M03,0.887,2025-01-24T00:00:00Z
1986,M04,0.890,2025-01-24T00:00:00Z
1986,M05,0.820,2025-01-24T00:00:00Z
1986,M06,0.795,2025-01-24T00:00:00Z
1986,M07,0.833,2025-01-24T00:00:00Z
1986,M08,0.913,2025-01-24T00:00:00Z
1986,M09,0.868,2025-01-24T00:00:00Z
1986,M10,0.855,2025-01-24T00:00:00Z
1986,M11,0.897,2025-01-24T00:00:00Z
1986,M12,0.910,2025-01-24T00:00:00Z
1987,M01,0.862,2025-01-24T00:00:00Z
1987,M02,0.823,2025-01-24T00:00:00Z
1987,M03,0.800,2025-01-24T00:00:00Z
1987,M04,0.786,2025-01-24T00:00:00Z
1987,M05,0.763,2025-01-24T00:00:00Z
1987,M06,0.711,2025-01-24T00:00:00Z
1987,M07,0.763,2025-01-24T00:00:00Z
1987,M08,0.730,2025-01-24T00:00:00Z
1987,M09,0.837,2025-01-24T00:00:00Z
1987,M10,0.778,2025-01-24T00:00:00Z
1987,M11,0.805,2025-01-24T00:00:00Z
1987,M12,0.733,2025-01-24T00:00:00Z
1988,M01,0.760,2025-01-24T00:00:00Z
1988,M02,0.718,2025-01-24T00:00:00Z
1988,M03,0.740,2025-01-24T00:00:00Z
1988,M04,0.719,2025-01-24T00:00:00Z
1988,M05,0.678,2025-01-24T00:00:00Z
1988,M06,0.705,2025-01-24T00:00:00Z
1988,M07,0.803,2025-01-24T00:00:00Z
1988,M08,0.909,2025-01-24T00:00:00Z
1988,M09,0.874,2025-01-24T00:00:00Z
1988,M10,0.896,2025-01-24T00:00:00Z
1988,M11,0.839,2025-01-24T00:00:00Z
1988,M12,0.833,2025-01-24T00:00:00Z
1989,M01,0.941,2025-01-24T00:00:00Z
1989,M02,0.890,2025-01-24T00:00:00Z
1989,M03,1.031,2025-01-24T00:00:00Z
1989,M04,0.997,2025-01-24T00:00:00Z
1989,M05,0.956,2025-01-24T00:00:00Z
1989,M06,0.937,2025-01-24T00:00:00Z
1989,M07,0.961,2025-01-24T00:00:00Z
1989,M08,0.983,2025-01-24T00:00:00Z
1989,M09,1.038,2025-01-24T00:00:00Z
1989,M10,1.023,2025-01-24T00:00:00Z
1989,M11,1.080,2025-01-24T00:00:00Z
1989,M12,1.137,2025-01-24T00:00:00Z
1990,M01,1.223,2025-01-24T00:00:00Z
1990,M02,1.041,2025-01-24T00:00:00Z
1990,M03,1.111,2025-01-24T00:00:00Z
1990,M04,1.092,2025-01-24T00:00:00Z
1990,M05,0.940,2025-01-24T00:00:00Z
1990,M06,0.930,2025-01-24T00:00:00Z
1990,M07,0.899,2025-01-24T00:00:00Z
1990,M08,0.954,2025-01-24T00:00:00Z
1990,M09,0.946,2025-01-24T00:00:00Z
1990,M10,1.012,2025-01-24T00:00:00Z
1990,M11,1.018,2025-01-24T00:00:00Z
1990,M12,1.001,2025-01-24T00:00:00Z
1991,M01,1.106,2025-01-24T00:00:00Z
1991,M02,0.987,2025-01-24T00:00:00Z
1991,M03,1.069,2025-01-24T00:00:00Z
1991,M04,1.002,2025-01-24T00:00:00Z
1991,M05,0.908,2025-01-24T00:00:00Z
1991,M06,0.884,2025-01-24T00:00:00Z
1991,M07,0.966,2025-01-24T00:00:00Z
1991,M08,1.024,2025-01-24T00:00:00Z
1991,M09,0.987,2025-01-24T00:00:00Z
1991,M10,0.976,2025-01-24T00:00:00Z
1991,M11,0.950,2025-01-24T00:00:00Z
1991,M12,1.012,2025-01-24T00:00:00Z
1992,M01,0.933,2025-01-24T00:00:00Z
1992,M02,0.881,2025-01-24T00:00:00Z
1992,M03,0.850,2025-01-24T00:00:00Z
1992,M04,0.829,2025-01-24T00:00:00Z
1992,M05,0.836,2025-01-24T00:00:00Z
1992,M06,0.801,2025-01-24T00:00:00Z
1992,M07,0.827,2025-01-24T00:00:00Z
1992,M08,0.809,2025-01-24T00:00:00Z
1992,M09,0.873,2025-01-24T00:00:00Z
1992,M10,0.858,2025-01-24T00:00:00Z
1992,M11,0.897,2025-01-24T00:00:00Z
1992,M12,0.928,2025-01-24T00:00:00Z
1993,M01,0.898,2025-01-24T00:00:00Z
1993,M02,0.895,2025-01-24T00:00:00Z
1993,M03,0.927,2025-01-24T00:00:00Z
1993,M04,0.997,2025-01-24T00:00:00Z
1993,M05,0.895,2025-01-24T00:00:00Z
1993,M06,0.921,2025-01-24T00:00:00Z
1993,M07,0.900,2025-01-24T00:00:00Z
1993,M08,0.929,2025-01-24T00:00:00Z
1993,M09,0.890,2025-01-24T00:00:00Z
1993,M10,0.897,2025-01-24T00:00:00Z
1993,M11,0.917,2025-01-24T00:00:00Z
1993,M12,0.871,2025-01-24T00:00:00Z
1994,M01,0.917,2025-01-24T00:00:00Z
1994,M02,0.903,2025-01-24T00:00:00Z
1994,M03,0.926,2025-01-24T00:00:00Z
1994,M04,0.861,2025-01-24T00:00:00Z
1994,M05,0.801,2025-01-24T00:00:00Z
1994,M06,0.841,2025-01-24T00:00:00Z
1994,M07,0.815,2025-01-24T00:00:00Z
1994,M08,0.895,2025-01-24T00:00:00Z
1994,M09,0.855,2025-01-24T00:00:00Z
1994,M10,0.810,2025-01-24T00:00:00Z
1994,M11,0.857,2025-01-24T00:00:00Z
1994,M12,0.873,2025-01-24T00:00:00Z
1995,M01,0.882,2025-01-24T00:00:00Z
1995,M02,0.863,2025-01-24T00:00:00Z
1995,M03,0.875,2025-01-24T00:00:00Z
1995,M04,0.833,2025-01-24T00:00:00Z
1995,M05,0.819,2025-01-24T00:00:00Z
1995,M06,0.825,2025-01-24T00:00:00Z
1995,M07,0.879,2025-01-24T00:00:00Z
1995,M08,0.984,2025-01-24T00:00:00Z
1995,M09,0.956,2025-01-24T00:00:00Z
1995,M10,0.981,2025-01-24T00:00:00Z
1995,M11,1.037,2025-01-24T00:00:00Z
1995,M12,1.160,2025-01-24T00:00:00Z
1996,M01,1.155,2025-01-24T00:00:00Z
1996,M02,1.091,2025-01-24T00:00:00Z
1996,M03,1.138,2025-01-24T00:00:00Z
1996,M04,1.086,2025-01-24T00:00:00Z
1996,M05,1.021,2025-01-24T00:00:00Z
1996,M06,0.945,2025-01-24T00:00:00Z
1996,M07,1.042,2025-01-24T00:00:00Z
1996,M08,1.072,2025-01-24T00:00:00Z
1996,M09,1.150,2025-01-24T00:00:00Z
1996,M10,1.129,2025-01-24T00:00:00Z
1996,M11,1.139,2025-01-24T00:00:00Z
1996,M12,1.308,2025-01-24T00:00:00Z
1997,M01,1.148,2025-01-24T00:00:00Z
1997,M02,1.132,2025-01-24T00:00:00Z
1997,M03,1.056,2025-01-24T00:00:00Z
1997,M04,1.081,2025-01-24T00:00:00Z
1997,M05,1.002,2025-01-24T00:00:00Z
1997,M06,0.952,2025-01-24T00:00:00Z
1997,M07,0.979,2025-01-24T00:00:00Z
1997,M08,1.061,2025-01-24T00:00:00Z
1997,M09,1.009,2025-01-24T00:00:00Z
1997,M10,1.018,2025-01-24T00:00:00Z
1997,M11,1.090,2025-01-24T00:00:00Z
1997,M12,1.172,2025-01-24T00:00:00Z
1998,M01,1.120,2025-01-24T00:00:00Z
1998,M02,1.073,2025-01-24T00:00:00Z
1998,M03,1.043,2025-01-24T00:00:00Z
1998,M04,1.061,2025-01-24T00:00:00Z
1998,M05,0.960,2025-01-24T00:00:00Z
1998,M06,0.932,2025-01-24T00:00:00Z
1998,M07,0.971,2025-01-24T00:00:00Z
1998,M08,1.053,2025-01-24T00:00:00Z
1998,M09,1.022,2025-01-24T00:00:00Z
1998,M10,1.048,2025-01-24T00:00:00Z
1998,M11,1.077,2025-01-24T00:00:00Z
1998,M12,1.089,2025-01-24T00:00:00Z
1999,M01,1.053,2025-01-24T00:00:00Z
1999,M02,1.078,2025-01-24T00:00:00Z
1999,M03,1.005,2025-01-24T00:00:00Z
1999,M04,0.942,2025-01-24T00:00:00Z
1999,M05,0.900,2025-01-24T00:00:00Z
1999,M06,0.949,2025-01-24T00:00:00Z
1999,M07,0.880,2025-01-24T00:00:00Z
1999,M08,1.020,2025-01-24T00:00:00Z
1999,M09,0.956,2025-01-24T00:00:00Z
1999,M10,0.888,2025-01-24T00:00:00Z
1999,M11,0.920,2025-01-24T00:00:00Z
